,Year,Host_NOC,Entries,Athletes,Event,Sport,Medal,NOC,Host_Medal,Visitor_Medal,Male,Female,Host_Medal_Perc,Visitor_Medal_Perc
0,1956,AUS,5127,3347,151,19,893,72,67,826,2963,384,7.5,92.5
1,1960,ITA,8119,5352,150,19,911,84,88,823,4739,613,9.66,90.34
2,1964,JPN,7702,5137,163,21,1029,93,62,967,4457,680,6.03,93.97
3,1968,MEX,8588,5558,172,20,1057,111,9,1048,4775,783,0.85,99.15
4,1972,GER,10304,7114,193,23,1215,120,253,962,6054,1060,20.82,79.18
5,1976,CAN,8641,6073,198,23,1320,91,23,1297,4813,1260,1.74,98.26
6,1980,RUS,7191,5259,203,23,1384,80,442,942,4136,1123,31.94,68.06
7,1984,USA,18908,6798,221,25,2952,140,704,2248,5229,1569,23.85,76.15
8,1988,KOR,12037,8454,237,27,1582,158,77,1505,6251,2203,4.87,95.13
9,1992,ESP,12977,9386,257,29,1712,169,69,1643,6663,2723,4.03,95.97
10,1996,USA,13780,10339,271,31,1842,197,259,1583,6822,3517,14.06,85.94
11,2000,AUS,13821,10647,300,34,2004,200,183,1821,6579,4068,9.13,90.87
12,2004,GRE,26886,10557,301,34,4002,201,62,3940,6257,4300,1.55,98.45
13,2008,CHN,13602,10899,302,34,2048,204,184,1864,6290,4609,8.98,91.02
14,2012,GBR,38760,10517,302,32,5823,205,378,5445,5863,4654,6.49,93.51
15,2016,BRA,13688,11179,306,34,2023,207,50,1973,6145,5034,2.47,97.53
