,Year,NOC,Host_Medal_Perc,Country,Medal_Perc
0,1956,AUS,7.5,Australia,4.77
1,1960,ITA,9.66,Italy,3.76
2,1964,JPN,6.03,Japan,3.48
3,1968,MEX,0.85,Mexico,0.32
4,1972,GER,20.82,Germany,10.98
5,1976,CAN,1.74,Canada,2.01
6,1980,RUS,31.94,Russia,14.69
7,1984,USA,23.85,USA,14.45
8,1988,KOR,4.87,South Korea,2.04
9,1992,ESP,4.03,Spain,1.59
10,1996,USA,14.06,USA,14.45
11,2000,AUS,9.13,Australia,4.77
12,2004,GRE,1.55,Greece,0.32
13,2008,CHN,8.98,China,5.39
14,2012,GBR,6.49,UK,3.54
15,2016,BRA,2.47,Brazil,1.62
